LA_Name,LSOA_Code,LA_Code,Service_users_LSOA,GP_PT_walk_mins,GP_PT_15mins_perc
Chorley,E01024945,E07000118,1301.0705871582,14.2415577304992,58.0034421772878
Chorley,E01024946,E07000118,588.952789306641,13.0469962777445,75.8555128154308
Chorley,E01024947,E07000118,558.721366882324,12.9833869782147,75.9519046723468
Chorley,E01024948,E07000118,718.835914611816,11.8239721661609,100
Chorley,E01024949,E07000118,1115.20336914063,7.27273085547785,100
Chorley,E01024950,E07000118,600.149612426758,9.62957078667639,100
Chorley,E01024951,E07000118,528.489936828613,8.81271186551923,100
Chorley,E01024952,E07000118,676.287994384766,5.84953637652475,100
Chorley,E01024953,E07000118,723.314643859863,6.86321982007733,100
Chorley,E01024954,E07000118,714.35717010498,5.9489186240249,100
Chorley,E01024955,E07000118,734.511451721191,12.5581555807292,80.1829270731102
Chorley,E01024956,E07000118,693.083206176758,17.1413247510489,16.3166387509849
Chorley,E01024957,E07000118,662.851806640625,16.0519088598566,54.560812801722
Chorley,E01024958,E07000118,632.620384216309,17.4786725405807,19.4690266874158
Chorley,E01024959,E07000118,843.120597839355,9.45861886177393,77.4236393045764
Chorley,E01024960,E07000118,715.476867675781,12.6121751633339,100
Chorley,E01024961,E07000118,741.229537963867,7.62344409752713,74.7734138506364
Chorley,E01024962,E07000118,697.561935424805,17.8362118037963,0
Chorley,E01024963,E07000118,753.546051025391,19.5014268041424,0
Chorley,E01024964,E07000118,694.202880859375,23.4697255946126,0
Chorley,E01024965,E07000118,638.218788146973,20.713578924153,18.0701755245828
Chorley,E01024966,E07000118,735.631134033203,20.0646110533671,0
Chorley,E01024967,E07000118,595.670883178711,11.2854698286359,85.3383457972508
Chorley,E01024968,E07000118,826.325378417969,10.4609757659669,100
Chorley,E01024969,E07000118,669.569900512695,5.62775931086741,100
Chorley,E01024970,E07000118,643.817192077637,15.7647825631632,38.0869563506834
Chorley,E01024971,E07000118,591.19214630127,15.6971405619168,64.2045449779366
Chorley,E01024972,E07000118,599.029930114746,15.4926361049358,54.205605679277
Chorley,E01024973,E07000118,981.9612159729,14.5069667394508,67.1607746800043
Chorley,E01024974,E07000118,718.835899353027,12.066386227357,57.9439241822099
Chorley,E01024975,E07000118,599.029922485352,14.2019251936997,37.9439235672197
Chorley,E01024976,E07000118,737.870483398438,5.08203328057211,100
Chorley,E01024977,E07000118,1006.59419250488,18.3986649744938,29.4771960962923
Chorley,E01024978,E07000118,641.577850341797,7.25687609836165,100
Chorley,E01024979,E07000118,661.732116699219,14.8136376600648,38.9170880827286
Chorley,E01024980,E07000118,650.535301208496,11.8376417748853,78.3132536337667
Fylde,E01024981,E07000119,750.819686889648,13.9144669363196,62.7737235177886
Fylde,E01024982,E07000119,681.766204833984,16.4513019995163,19.4533756876363
Fylde,E01024983,E07000119,685.054458618164,11.2549278885914,100
Fylde,E01024984,E07000119,734.378387451172,12.1933432364319,100
Fylde,E01024985,E07000119,687.246643066406,6.97695369978313,100
Fylde,E01024986,E07000119,1004.01582336426,8.52646303125261,100
Fylde,E01024987,E07000119,825.353622436523,8.4170385404018,100
Fylde,E01024988,E07000119,925.097541809082,12.9499879599388,100
Fylde,E01024989,E07000119,719.033172607422,10.7799999298768,100
Fylde,E01024990,E07000119,893.311050415039,8.75061345013727,100
Fylde,E01024991,E07000119,566.677040100098,13.4289168589323,100
Fylde,E01024992,E07000119,804.527954101563,16.2072479656215,17.3024521093609
Fylde,E01024993,E07000119,686.15055847168,14.5179391223872,48.0830682329838
Fylde,E01024994,E07000119,791.374923706055,16.1517587369312,18.0055405774696
Fylde,E01024995,E07000119,727.801864624023,16.5411592222241,0
Fylde,E01024996,E07000119,700.399688720703,15.238653902105,36.1502354372941
Fylde,E01024997,E07000119,735.474472045898,21.9490458219406,0
Fylde,E01024998,E07000119,790.278823852539,18.9476285195519,23.5783628164606
Fylde,E01024999,E07000119,757.396240234375,23.9275828326231,0
Fylde,E01025000,E07000119,653.267944335938,23.7463425517967,0
Fylde,E01025001,E07000119,869.19709777832,15.4066200018165,51.1979830804884
Fylde,E01025002,E07000119,727.801879882813,11.6686748057996,100
Fylde,E01025003,E07000119,868.101028442383,11.7723230172894,100
Fylde,E01025004,E07000119,657.652282714844,10.4609000847564,100
Fylde,E01025005,E07000119,806.720123291016,15.0302171377134,49.4565211017906
Fylde,E01025006,E07000119,731.090133666992,18.5748723650002,0
Fylde,E01025007,E07000119,549.139663696289,13.2752692475257,49.9001998337409
Fylde,E01025008,E07000119,545.851379394531,8.9140360353919,100
Fylde,E01025009,E07000119,797.951446533203,5.45118133823231,100
Fylde,E01025010,E07000119,574.34965133667,7.48562982428888,100
Fylde,E01025011,E07000119,739.858840942383,4.54988152531594,100
Fylde,E01025012,E07000119,871.389282226563,13.82641507319,82.7672954565162
Fylde,E01025013,E07000119,784.798400878906,12.8378072957674,81.7039105276293
Fylde,E01025014,E07000119,750.819702148438,19.5728757938066,0
Fylde,E01025015,E07000119,694.91926574707,17.8791326164967,0
Fylde,E01025016,E07000119,1122.39322662354,14.9780761163913,49.9023443162316
Fylde,E01025017,E07000119,891.118850708008,4.87025828872212,100
Fylde,E01025018,E07000119,619.289245605469,10.5604424960774,77.8761062382995
Fylde,E01025019,E07000119,679.574020385742,19.8542421607281,0
Fylde,E01025020,E07000119,612.712707519531,12.8772094619529,76.3864041953702
Fylde,E01025021,E07000119,746.435363769531,15.1009547213395,61.0866367877862
Fylde,E01025022,E07000119,957.980155944824,4.98982835423841,100
Fylde,E01025023,E07000119,662.036636352539,6.4927813977556,100
Fylde,E01025024,E07000119,766.164909362793,9.30952801122473,100
Fylde,E01025025,E07000119,761.780563354492,6.42936697386343,100
Fylde,E01025026,E07000119,607.232284545898,15.8943502854151,17.1480145719719
