service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
21344,1,1,1,1,1,0,0,20251107,20260807
21347,1,1,1,1,1,0,0,20251107,20260807
21348,1,1,1,1,1,0,0,20251107,20260807
21382,1,1,1,1,1,0,0,20260112,20260329
21383,0,0,0,0,0,0,1,20260112,20260329
21384,0,0,0,0,0,1,0,20260112,20260329
21389,1,1,1,1,1,0,0,20251201,20251214
21390,0,0,0,0,0,0,1,20251201,20251214
21392,0,0,0,0,0,1,0,20251201,20251214
21413,0,0,0,1,1,1,1,20251107,20251221
21463,1,1,1,1,1,1,0,20251107,20260807
21533,1,1,1,1,1,1,1,21250703,21250928
21811,0,0,0,0,1,0,0,20251107,20260807
21827,1,1,1,1,1,0,0,20251107,20260807
21860,1,1,1,1,0,0,0,20251107,20260807
23317,1,1,1,1,1,0,0,20260102,20261002
23320,1,1,1,1,1,0,0,20260103,20261003
23326,1,1,1,1,1,0,0,20260103,20261003
23351,1,1,1,1,1,0,0,20251231,20260101
23356,1,1,1,1,1,0,0,20251107,20251221
23536,1,1,1,1,0,0,0,20251107,20251221
23538,0,0,0,0,1,0,0,20251107,20251221
24030,1,0,1,0,0,0,0,20251107,20260807
24195,1,1,1,1,1,0,0,20251107,20260807
24989,1,1,1,1,1,0,0,20251107,20260807
25266,1,1,1,1,0,0,0,20251107,20260807
25267,0,0,0,0,1,0,0,20251107,20260807
25269,0,0,0,0,0,1,0,20251107,20260807
25293,0,0,0,0,0,1,0,20251201,20260901
25294,0,0,0,0,1,0,0,20251201,20260901
25295,1,1,1,1,0,0,0,20251201,20260901
25297,1,1,1,1,0,0,0,20251107,20251130
25298,0,0,0,0,1,0,0,20251107,20251130
25517,1,1,1,0,1,0,0,20251107,20260807
25522,1,1,1,0,0,0,0,20251107,20260807
25543,0,0,0,1,0,0,0,20251201,20260901
25544,1,1,1,0,0,0,0,20251201,20260901
25666,0,0,0,0,0,1,0,20251107,20251107
25737,0,0,0,0,0,0,1,20251107,20251107
25955,1,1,1,1,0,0,0,20251107,20251107
25958,0,0,0,0,1,0,0,20251107,20251107
27313,1,1,1,1,1,1,0,20251107,20251220
27318,1,1,0,1,1,1,0,20251221,20260921
27320,1,1,0,1,1,0,0,20251221,20260921
27321,1,1,0,1,0,0,0,20251221,20251221
27323,0,0,0,0,0,1,0,20251221,20251221
27324,1,1,0,1,1,0,0,20251221,20251221
27325,0,0,0,0,1,0,0,20251221,20251221
27326,0,0,0,0,0,0,1,20251221,20251221
27328,0,0,0,0,0,1,0,20251222,20260102
27330,0,0,0,0,1,0,0,20251222,20260102
27331,0,0,0,0,0,1,0,20251222,20260922
27332,0,0,0,0,0,0,1,20251222,20260922
27333,0,0,0,0,1,0,0,20251222,20260922
27334,1,1,1,1,0,0,0,20251222,20260922
27335,0,0,1,0,0,0,0,20251222,20260922
27336,1,1,1,1,1,0,0,20251222,20260922
27341,1,1,1,1,1,1,0,20251107,20251221
27346,1,1,1,1,1,1,0,20260103,20261003
27376,0,0,0,0,0,0,1,20251222,20260102
27453,1,1,1,1,1,0,0,20251221,20260921
27460,0,0,0,1,0,0,0,20251222,20260102
27487,0,0,0,0,1,0,0,20251221,20260921
27489,1,1,0,1,0,0,0,20251221,20260921
27618,1,1,1,1,1,0,0,20251201,20251220
27619,0,0,0,0,0,1,0,20251201,20251220
27719,0,0,0,1,1,1,0,20251107,20251221
27720,0,0,0,1,1,1,0,20260103,20261003
27736,0,0,0,0,0,0,1,20251116,20251220
27738,1,1,1,1,1,0,0,20251116,20251220
27739,0,0,0,0,0,1,0,20251116,20251220
27817,1,1,0,1,1,0,0,20251107,20251220
31093,1,0,1,1,0,0,0,20251107,20260807
31096,0,0,0,0,0,1,0,20251107,20260807
31097,0,1,0,1,0,0,0,20251107,20260807
31098,0,1,0,1,0,0,0,20251107,20260801
31099,0,1,0,0,1,0,0,20251107,20260807
31647,1,1,1,1,1,0,0,20251107,20251129
31764,1,1,1,1,1,0,0,20251130,20260830
31956,1,1,1,1,1,0,0,20251107,20260807
31980,1,1,1,1,1,0,0,20251107,20260807
32010,1,1,1,1,1,0,0,20251107,20260807
32062,1,1,1,1,1,0,0,20251107,20260807
32147,1,1,1,1,1,0,0,20251107,20260807
32287,1,1,1,1,1,0,0,20251107,20260807
32295,1,1,1,1,1,0,0,20251107,20260807
32311,1,1,1,1,1,0,0,20251107,20260807
32447,1,1,1,1,1,0,0,20251107,20260807
32449,1,1,1,1,1,0,0,20251107,20260807
32456,1,1,1,1,1,0,0,20251107,20260807
32528,1,1,1,1,1,0,0,20251107,20260807
32544,1,1,1,1,1,0,0,20251107,20260807
32667,0,0,0,1,0,1,0,20251107,20260807
32706,1,1,1,1,1,0,0,20251107,20260807
32713,1,1,1,1,1,0,0,20251107,20260807
32803,1,1,1,1,1,0,0,20251107,20260807
32926,1,1,1,1,0,0,0,20251107,20260807
32936,1,1,1,1,1,0,0,20251107,20260807
32939,0,0,0,0,1,0,0,20251107,20260807
33006,0,0,0,1,0,0,0,20251107,20260807
33134,1,1,1,1,1,0,0,20251107,20260807
33504,1,1,1,0,0,0,0,20251107,20260111
33505,1,1,1,1,1,1,1,20251107,20260111
33506,1,1,1,1,1,1,1,20251107,20260111
33507,1,1,1,1,1,0,1,20251107,20260111
33508,1,1,1,1,1,1,1,20251107,20260111
33512,1,1,1,1,1,1,1,20251107,20260111
33515,1,1,1,1,1,1,1,20251107,20260331
33516,1,1,1,1,1,1,1,20251107,20260331
33517,1,1,1,1,1,1,1,20251107,20260331
33518,1,1,0,0,0,0,1,20251107,20260331
33519,1,1,1,1,1,1,1,20251107,20260331
33520,1,1,1,1,1,0,1,20251107,20260331
33521,1,1,1,1,1,1,1,20251107,20260331
33522,1,1,1,0,0,0,0,20251107,20260331
33560,0,0,0,0,0,0,1,20251107,20260111
33700,1,1,1,1,1,1,1,20251107,20260111
33702,1,0,0,1,1,1,1,20251107,20260111
