stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,location_type,parent_station,platform_code
490007045FL,53361,"Finchley Road / O2 Centre",51.54791,-0.18067,0,0,,
0610VR328,CHWJDGM,"Wesley Court",53.1942911,-2.5126791,0,0,,
2800S31021A,merawmda,"Greasby Primary School",53.36944,-3.12262,0,0,,
090074663896,cumdpdgt,"Horse & Farrier",54.61913276729041,-3.0506268767832783,0,0,,
2800S13085B,meragdaj,"Basildon Close",53.43116,-2.74737,0,0,,
1800NC41751,MANDTMWT,"St Monica's High School",53.52743,-2.26616,0,0,,
1800ED24781,MANATGAP,"Chapel Road",53.5264,-2.136883,0,0,,
1000DEBEG777,dbsampag,"Gates",53.226627,-1.625096,0,0,,
2500IMG1602,landtmgt,"Fernlea Avenue",53.917334275,-2.187383969,0,0,,
2800S52078B,mergadpm,"Redhill Avenue",53.47348,-2.87454,0,0,,
2500DCL5648,landmgmg,"Shore Service Station",53.688277671,-2.171297417,0,0,,
25001474,lanapadj,"Cock and Bottle",53.678448233,-2.832088136,0,0,,
450019576,45019576,"Mayroyd Bridge",53.7369390757048,-2.002918819567037,0,0,,
069000012725,wrgamdp,"Peacock Avenue",53.396536497,-2.56793877,0,0,,
2590B0842,blpajdma,"Stanley School",53.804789263,-3.010337783,0,0,,
0600MA0019,CHEGTAM,"The King's School",53.264221,-2.131726,0,0,,
2590B0003,blpadadj,"Buchanan Street",53.818700586,-3.042677809,0,0,,
069000020170,wrgjgdg,"Bridge Inn",53.431939264,-2.657935821,0,0,,
2500IMG868,langmgdj,"Thistleton Road",53.764606607,-2.753905109,0,0,,
090002274332,cumdtdpg,"How Close",54.6639850100312,-3.2764218463153334,0,0,,
1800EH30071,MANDAPAJ,"Baron Road",53.43811,-2.069311,0,0,,
1800NC22491,MANDPWDA,"The Lamb Inn",53.6057,-2.326057,0,0,,
2800S55002A,mergatda,"Old Racecourse Road",53.50913,-2.95633,0,0,,
2800S41031B,merdatwt,"Bolan Street",53.41623,-2.92002,0,0,,
090002370668,cumagada,"Fire Station",54.602821623193655,-3.1274704494024252,0,0,,
2800S20028A,merajwdt,"Mount Road",53.37002,-3.02922,0,0,,
1800WAH0881,,"Smethurst Lane",53.557526,-2.45745,0,0,,
2800S11086A,,"Trent Road",53.49061,-2.71897,0,0,,
2590B0005,blpadadp,"Collingwood Avenue",53.819160354,-3.032648526,0,0,,
1800SJ00211,MANJMJPD,"Trafford Bar",53.46294,-2.277012,0,0,,
1800WA20181,MANPDTPM,"The Crown",53.60156,-2.554155,0,0,,
1800NC05561,MANDMPMA,"Unsworth Medical Centre",53.56112,-2.273305,0,0,,
0600CR327,CHEJPTG,"Barons Road",53.062499,-2.451409,0,0,,
2800S10006A,meradagt,"Borron Road",53.45634,-2.63452,0,0,,
2500BTA01094,lanjgtwp,"St Albans Road",53.758787229,-3.015057618,0,0,,
2500LAA00232,langtpdj,"Malvern Avenue",53.790461578,-2.312242236,0,0,,
1800EB01651,MANADGDJ,"Dickenson Road",53.45351,-2.211249,0,0,,
25001182,lanagpdp,"Skeffington Road",53.762774878,-2.678389207,0,0,,
2500IMG970,langmjpm,"Grove Park",53.575357009,-2.878888011,0,0,,
090010020444,cumajmgd,"Southport Drive",54.10745181622256,-3.2593999464456385,0,0,,
1800SG40521,MANJMATD,"Longshut Lane",53.400493,-2.155088,0,0,,
1800ED13001,MANAMWPD,"Brookway",53.53827,-2.027876,0,0,,
0600MA6041,CHEGDTA,"Holy Trinity Church",53.264753,-2.113077,0,0,,
1800ED12371,MANAMTJT,"Slack Lane",53.57139,-2.034074,0,0,,
2800S62020A,mergjdjw,"Welwyn Avenue",53.60723,-3.02715,0,0,,
1800EH39381,MANDGMPT,"Morrisons",53.477033,-2.081607,0,0,,
1800WA14981,MANPAPMA,"Johnson Fold Terminus",53.597089,-2.472731,0,0,,
2800S27045B,meratmat,"Hawthorn Lane",53.32741,-2.9804,0,0,,
2800S53046B,mergajwt,"Longdale Lane",53.5077,-2.98528,0,0,,
1800EDH1081,,"Rochdale Lane",53.569525,-2.126121,0,0,,
1800TCBS091,MANTMPWD,"The Trafford Centre Bus Station",53.46782,-2.35178,0,0,180GTCBS,9
1800EB11761,MANAGAWP,"Elaine Avenue",53.52274,-2.185334,0,0,,
