LSOA_Code,LSOA Name,LADNM,stops_count,avg_departures_per_hour,median_departures_per_hour,pct_stops_lt1_per_hour,BusFreqBand,BusFreq_norm,BusFreqScore,LA_Name,LA_Code
E01012618,Blackburn with Darwen 012B,Blackburn with Darwen,7,1.976190476190476,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012619,Blackburn with Darwen 012C,Blackburn with Darwen,5,2,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012620,Blackburn with Darwen 012D,Blackburn with Darwen,7,2.833333333333333,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012621,Blackburn with Darwen 012E,Blackburn with Darwen,4,2.4166666666666665,1.9166666666666663,0,Low,0.94,1.9166666666666663,Blackburn with Darwen,E06000008
E01012622,Blackburn with Darwen 009C,Blackburn with Darwen,9,1.759259259259259,2,11.11111111111111,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012623,Blackburn with Darwen 009D,Blackburn with Darwen,2,1.8333333333333333,1.8333333333333333,0,Low,0.942857143,1.8333333333333333,Blackburn with Darwen,E06000008
E01012625,Blackburn with Darwen 009F,Blackburn with Darwen,9,2,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012628,Blackburn with Darwen 018D,Blackburn with Darwen,25,0.9,0.5,80,Desert,0.9885714285714288,0.5,Blackburn with Darwen,E06000008
E01012629,Blackburn with Darwen 006A,Blackburn with Darwen,4,7.916666666666666,7.916666666666666,0,High,0.7342857142857143,7.916666666666666,Blackburn with Darwen,E06000008
E01012630,Blackburn with Darwen 007E,Blackburn with Darwen,1,0.5,0.5,100,Desert,0.9885714285714288,0.5,Blackburn with Darwen,E06000008
E01012631,Blackburn with Darwen 006B,Blackburn with Darwen,6,7.388888888888889,7.166666666666667,0,High,0.76,7.166666666666667,Blackburn with Darwen,E06000008
E01012632,Blackburn with Darwen 011F,Blackburn with Darwen,35,2.804761904761905,1.5,31.428571428571427,Low,0.9542857142857144,1.5,Blackburn with Darwen,E06000008
E01012633,Blackburn with Darwen 001C,Blackburn with Darwen,7,2,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012635,Blackburn with Darwen 001E,Blackburn with Darwen,2,1.6666666666666667,1.6666666666666667,0,Low,0.9485714285714286,1.6666666666666667,Blackburn with Darwen,E06000008
E01012636,Blackburn with Darwen 001F,Blackburn with Darwen,4,2,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012637,Blackburn with Darwen 008B,Blackburn with Darwen,12,1.3472222222222223,1.3333333333333333,33.33333333333333,Low,0.96,1.3333333333333333,Blackburn with Darwen,E06000008
E01012638,Blackburn with Darwen 008C,Blackburn with Darwen,6,1.9722222222222223,2.166666666666667,16.666666666666664,Moderate,0.9314285714285714,2.166666666666667,Blackburn with Darwen,E06000008
E01012639,Blackburn with Darwen 008D,Blackburn with Darwen,7,3.595238095238095,4.833333333333333,28.57142857142857,Good,0.8400000000000001,4.833333333333333,Blackburn with Darwen,E06000008
E01012640,Blackburn with Darwen 008E,Blackburn with Darwen,6,5.75,6.083333333333334,0,High,0.7971428571428572,6.083333333333334,Blackburn with Darwen,E06000008
E01012641,Blackburn with Darwen 008F,Blackburn with Darwen,5,1,0.3333333333333333,60,Desert,0.9942857142857144,0.3333333333333333,Blackburn with Darwen,E06000008
E01012642,Blackburn with Darwen 004C,Blackburn with Darwen,1,1.6666666666666667,1.6666666666666667,0,Low,0.9485714285714286,1.6666666666666667,Blackburn with Darwen,E06000008
E01012643,Blackburn with Darwen 006C,Blackburn with Darwen,25,5.226666666666667,3.1666666666666665,12,Moderate,0.8971428571428571,3.1666666666666665,Blackburn with Darwen,E06000008
E01012644,Blackburn with Darwen 006D,Blackburn with Darwen,6,8.5,5.416666666666667,0,Good,0.82,5.416666666666667,Blackburn with Darwen,E06000008
E01012645,Blackburn with Darwen 004D,Blackburn with Darwen,1,1.6666666666666667,1.6666666666666667,0,Low,0.9485714285714286,1.6666666666666667,Blackburn with Darwen,E06000008
E01012646,Blackburn with Darwen 015B,Blackburn with Darwen,4,0.5,0.5,100,Desert,0.9885714285714288,0.5,Blackburn with Darwen,E06000008
E01012647,Blackburn with Darwen 015C,Blackburn with Darwen,2,0.4166666666666666,0.4166666666666666,100,Desert,0.9914285714285714,0.4166666666666666,Blackburn with Darwen,E06000008
E01012648,Blackburn with Darwen 014D,Blackburn with Darwen,1,6.166666666666667,6.166666666666667,0,High,0.7942857142857143,6.166666666666667,Blackburn with Darwen,E06000008
E01012649,Blackburn with Darwen 016A,Blackburn with Darwen,7,2.023809523809524,0.5,71.42857142857143,Desert,0.9885714285714288,0.5,Blackburn with Darwen,E06000008
E01012651,Blackburn with Darwen 016B,Blackburn with Darwen,3,6.111111111111112,6.166666666666667,0,High,0.7942857142857143,6.166666666666667,Blackburn with Darwen,E06000008
E01012653,Blackburn with Darwen 016C,Blackburn with Darwen,2,6.166666666666667,6.166666666666667,0,High,0.7942857142857143,6.166666666666667,Blackburn with Darwen,E06000008
E01012654,Blackburn with Darwen 016D,Blackburn with Darwen,8,2.5,1.75,50,Low,0.9457142857142856,1.75,Blackburn with Darwen,E06000008
E01012655,Blackburn with Darwen 006E,Blackburn with Darwen,13,3.5,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012656,Blackburn with Darwen 005C,Blackburn with Darwen,5,2.9666666666666663,2.6666666666666665,0,Moderate,0.9142857142857144,2.6666666666666665,Blackburn with Darwen,E06000008
E01012657,Blackburn with Darwen 005D,Blackburn with Darwen,1,2.6666666666666665,2.6666666666666665,0,Moderate,0.9142857142857144,2.6666666666666665,Blackburn with Darwen,E06000008
E01012658,Blackburn with Darwen 005E,Blackburn with Darwen,5,1.6,1.3333333333333333,0,Low,0.96,1.3333333333333333,Blackburn with Darwen,E06000008
E01012659,Blackburn with Darwen 017D,Blackburn with Darwen,3,3,3,0,Moderate,0.9028571428571428,3,Blackburn with Darwen,E06000008
E01012660,Blackburn with Darwen 017E,Blackburn with Darwen,7,3,3,0,Moderate,0.9028571428571428,3,Blackburn with Darwen,E06000008
E01012661,Blackburn with Darwen 017F,Blackburn with Darwen,8,3,3,0,Moderate,0.9028571428571428,3,Blackburn with Darwen,E06000008
E01012662,Blackpool 002A,Blackpool,12,7.944444444444444,7.833333333333333,0,High,0.7371428571428572,7.833333333333333,Blackpool,E06000009
E01012663,Blackpool 001A,Blackpool,8,11.333333333333334,9.833333333333332,0,High,0.6685714285714286,9.833333333333332,Blackpool,E06000009
E01012664,Blackpool 001B,Blackpool,9,8,8,0,High,0.7314285714285714,8,Blackpool,E06000009
E01012702,Blackpool 019C,Blackpool,7,8.857142857142858,10,0,High,0.6628571428571429,10,Blackpool,E06000009
E01012703,Blackpool 002B,Blackpool,9,13.018518518518515,12.166666666666666,0,High,0.5885714285714285,12.166666666666666,Blackpool,E06000009
E01012704,Blackpool 002C,Blackpool,14,5.785714285714286,5.083333333333334,0,Good,0.8314285714285715,5.083333333333334,Blackpool,E06000009
E01012705,Blackpool 004D,Blackpool,8,8.708333333333334,10.333333333333332,0,High,0.6514285714285715,10.333333333333332,Blackpool,E06000009
E01012706,Blackpool 002D,Blackpool,6,3.75,4,0,Good,0.8685714285714285,4,Blackpool,E06000009
E01012707,Blackpool 007A,Blackpool,6,10.5,10,0,High,0.6628571428571429,10,Blackpool,E06000009
E01012708,Blackpool 009C,Blackpool,4,6,6,0,High,0.8,6,Blackpool,E06000009
E01012709,Blackpool 009D,Blackpool,7,15.333333333333332,11.333333333333334,0,High,0.6171428571428572,11.333333333333334,Blackpool,E06000009
E01012710,Blackpool 009E,Blackpool,9,6.851851851851852,6,0,High,0.8,6,Blackpool,E06000009
E01012711,Blackpool 005B,Blackpool,7,13.023809523809524,13.333333333333334,0,High,0.5485714285714286,13.333333333333334,Blackpool,E06000009
E01012712,Blackpool 012A,Blackpool,13,4.230769230769231,4,0,Good,0.8685714285714285,4,Blackpool,E06000009
E01012713,Blackpool 012B,Blackpool,7,4.714285714285714,4,0,Good,0.8685714285714285,4,Blackpool,E06000009
E01012714,Blackpool 014E,Blackpool,18,3.4722222222222223,3.5,11.11111111111111,Moderate,0.8857142857142858,3.5,Blackpool,E06000009
E01012715,Blackpool 012C,Blackpool,9,7.5,8.166666666666666,0,High,0.7257142857142856,8.166666666666666,Blackpool,E06000009
E01012716,Blackpool 001D,Blackpool,16,5.697916666666667,4.333333333333333,0,Good,0.8571428571428572,4.333333333333333,Blackpool,E06000009
E01012717,Blackpool 002E,Blackpool,10,9.683333333333334,12.833333333333332,0,High,0.5657142857142857,12.833333333333332,Blackpool,E06000009
E01012718,Blackpool 003E,Blackpool,6,4.166666666666667,4.166666666666666,0,Good,0.8628571428571429,4.166666666666666,Blackpool,E06000009
E01012719,Blackpool 001E,Blackpool,5,5.533333333333333,4,0,Good,0.8685714285714285,4,Blackpool,E06000009
E01012720,Blackpool 007B,Blackpool,7,6.6190476190476195,3.8333333333333335,0,Moderate,0.8742857142857143,3.8333333333333335,Blackpool,E06000009
