LSOA_Code,LSOA Name,Health and Disability Decile,Barriers to Housing & Services Decile,IDAOPI Decile,LA_Name,Service_users_LSOA,GP_PT_walk_mins,GP_PT_15mins_perc,LA_Code,Total_Above 65,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation_x,Total_Disablities,Car or van availability (5 categories) Code,Car or van availability (5 categories),Observation_y
E01012630,,,,,Blackburn with Darwen,600.769470214844,3.63826954154549,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012631,,,,,Blackburn with Darwen,578.777893066406,4.21459409249497,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012632,,,,,Blackburn with Darwen,807.690055847168,10.5776484570034,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012633,,,,,Blackburn with Darwen,728.720359802246,5.95146770751494,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012634,,,,,Blackburn with Darwen,589.773681640625,10.1333559400251,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012635,,,,,Blackburn with Darwen,588.774063110352,11.5623260675123,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012636,,,,,Blackburn with Darwen,672.741851806641,8.05240731615456,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012637,,,,,Blackburn with Darwen,636.755645751953,10.9731713202842,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012638,,,,,Blackburn with Darwen,702.730316162109,5.91984351212613,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012639,,,,,Blackburn with Darwen,721.723052978516,11.8744874051932,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012640,,,,,Blackburn with Darwen,721.723037719727,10.1014683543165,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012641,,,,,Blackburn with Darwen,549.789016723633,7.16239997079366,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012642,,,,,Blackburn with Darwen,481.81510925293,6.57103753028758,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012643,,,,,Blackburn with Darwen,626.759498596191,3.51041465999916,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012644,,,,,Blackburn with Darwen,660.746429443359,2.74895613937074,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012645,,,,,Blackburn with Darwen,581.776763916016,10.8795531726183,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012646,,,,,Blackburn with Darwen,743.714599609375,12.4425941313025,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012647,,,,,Blackburn with Darwen,645.752227783203,19.9839630209424,0.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012648,,,,,Blackburn with Darwen,530.79630279541,7.1832579338655,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
