LSOA_Code,LSOA Name,Health and Disability Decile,Barriers to Housing & Services Decile,IDAOPI Decile
E01025208,Pendle 004D E01025208,1,10,2
E01025205,Pendle 004A E01025205,3,10,4
E01025226,Pendle 007A E01025226,2,9,3
E01025179,Pendle 006B E01025179,4,6,6
E01025178,Pendle 006A E01025178,7,4,7
E01025228,Pendle 007C E01025228,3,9,6
E01025220,Pendle 005A E01025220,2,10,2
E01025221,Pendle 005B E01025221,2,9,4
E01025177,Pendle 008D E01025177,8,3,10
E01025222,Pendle 005C E01025222,6,9,7
E01025224,Pendle 011A E01025224,2,10,1
E01025210,Pendle 010C E01025210,2,10,3
E01025180,Pendle 006C E01025180,7,8,7
E01025225,Pendle 011B E01025225,3,10,3
E01025190,Pendle 012B E01025190,3,9,4
E01025187,Pendle 012A E01025187,2,10,5
E01025189,Pendle 010B E01025189,3,10,3
E01025218,Pendle 010E E01025218,1,9,1
E01025188,Pendle 010A E01025188,1,10,1
E01025217,Pendle 010D E01025217,1,10,2
E01025230,Pendle 011D E01025230,1,10,1
E01025215,Pendle 013F E01025215,1,10,2
E01025186,Pendle 013B E01025186,2,10,2
E01025185,Pendle 013A E01025185,1,10,2
E01025175,Pendle 008B E01025175,5,10,7
E01025176,Pendle 008C E01025176,4,10,4
E01025229,Pendle 011C E01025229,2,10,1
E01025182,Pendle 009B E01025182,1,9,1
E01025184,Pendle 009D E01025184,2,10,1
E01025181,Pendle 009A E01025181,1,8,1
E01025183,Pendle 009C E01025183,1,10,1
E01025219,Pendle 010F E01025219,1,10,2
E01025357,Rossendale 008A E01025357,5,4,5
E01024918,Chorley 014D E01024918,7,4,9
E01024973,Chorley 014E E01024973,7,2,9
E01025027,Fylde 001C E01025027,5,6,6
E01025568,Wyre 014B E01025568,5,10,7
E01025028,Fylde 001D E01025028,4,10,7
E01025599,Wyre 014D E01025599,4,6,7
E01025024,Fylde 004D E01025024,3,8,5
E01025031,Fylde 001E E01025031,4,1,6
E01025001,Fylde 005A E01025001,2,10,3
E01025570,Wyre 008C E01025570,1,10,3
E01025571,Wyre 008D E01025571,2,10,5
E01025572,Wyre 008E E01025572,3,5,5
E01025604,Wyre 008F E01025604,5,10,4
E01025555,Wyre 010B E01025555,3,7,6
E01025557,Wyre 005A E01025557,4,3,7
E01025556,Wyre 008B E01025556,2,10,4
E01025603,Wyre 010E E01025603,5,9,7
E01025554,Wyre 008A E01025554,3,9,4
E01025544,Wyre 011C E01025544,2,10,4
E01025542,Wyre 010A E01025542,5,9,7
E01025576,Wyre 011D E01025576,4,10,6
E01025601,Wyre 010C E01025601,5,9,9
E01025541,Wyre 011A E01025541,4,8,5
E01025602,Wyre 010D E01025602,6,6,6
